Offer Name,Title,Description,Type,Code,Offer Page  ( Ctrl C to copy ),start_date(m/d/Year),Expiry,Coupon_featured,Tracking Extra parameter
Fashionara,Upto 70% off on International Brand Events,Upto 70% off on International Brand Events at fashionara. Click to see the deal on the landing page. Shop Now!!!! No coupon code required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=56&aff_id=3094&url_id=2642,4/29/2015,5/31/2016,72,aff_sub
Fashionara,Upto 70% off on Premium Brands,Upto 70% off on Premium Brands at fashionara.com. Hurry up!! Limited period offer. Shop Now!!!! No coupon code required. Click to see the deal on the landing page. Hurry up!!!!! Shop Now!!!Limited period offer.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=56&aff_id=3094&url=http://www.fashionara.com/sale%3Futm_source%3DiCubes%26utm_medium%3Dbanner%26utm_campaign%3Dicubescps,4/27/2015,5/31/2016,73,aff_sub
Ebay,Upto 40% off on Lingerie & Sleepwear,Upto 40% off on Lingerie & Sleepwear at ebay. CLICK TO VIEW the offer on the landing page. Hurry up!!!!! Limited period offer. No coupon codes required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1346&aff_id=3094&url_id=4986,5/14/2015,5/31/2016,74,aff_sub
Ebay,Upto 60% off on Ethnic Wear,Upto 60% off on Ethnic Wear at ebay. CLICK TO VIEW the offer on the landing page. Hurry up!!!!! Limited period offer. No coupon codes required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1346&aff_id=3094&url_id=4982,5/28/2015,5/31/2016,75,aff_sub
Ebay,Upto 50% off on Western Wear,Upto 50% off on Western Wear at ebay. CLICK TO VIEW the offer on the landing page. Hurry up!!!!! Limited period offer. No coupon codes required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1346&aff_id=3094&url_id=4984,5/14/2015,5/31/2016,76,aff_sub
Ebay,Upto 40% off on Women Shoes,Upto 40% off on Women Shoe at ebay. CLICK TO VIEW the offer on the landing page. Hurry up!!!!! Limited period offer. No coupon codes required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1346&aff_id=3094&url_id=4988,5/14/2015,5/31/2016,77,aff_sub
Ebay,Deals of the Week: Upto 50% off Across Categories,"Deals of the Week: Upto 50% off Across Categories including smartphones, cameras, televisions, DSLRs, memory cards, portable hard drives, laptops and much more. CLICK TO VIEW items under this offer. No coupon code required.",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1346&aff_id=3094&url_id=3766,5/7/2015,5/31/2016,78,aff_sub
Ebay,Upto 35% off on Televisions,"Upto 35% off on select televisions listed on the landing page at ebay. Choose from brands like Sony, Toshiba, Samsung & much more. No coupon code required.",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1346&aff_id=3094&url_id=3750,4/22/2015,5/31/2016,79,aff_sub
Ebay,Upto 50% off on Fashion Products,"Upto 50% off on Fashion Products like apparel, sarees, kurtis, t-shirts, footwear, watches, perfumes, deodorants and more. Shop Now!!!! No coupon code required.",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1346&aff_id=3094&url_id=3752,4/9/2015,5/31/2016,80,aff_sub
Ebay,Upto 59% off on Tablets,Upto 59% off on best selling tablets at ebay. No coupon code required. CLICK TO VIEW laptops under this offer.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1346&aff_id=3094&url_id=3754,4/15/2015,5/31/2016,81,aff_sub
Ebay,Upto 40% off on Home Appliances,"Upto 40% off on select best selling home appliances displayed on the landing page at ebay. Choose from various items including blenders, coffee makers, irons, mixer grinders, food processors, cookers, sandwich makers & much more. CLICK TO VIEW appliances under this offer. No coupon code required.",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1346&aff_id=3094&url_id=3762,4/29/2015,5/31/2016,82,aff_sub
Ebay,Upto 60% off on Home Audio & Entertainment Items,"Upto 60% off on best selling home audio and entertainment items including speakers, projectors, headphones, speakers and other products from top brands including Sony, JBL, Sennheiser, and much more at ebay. No coupon code required.",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1346&aff_id=3094&url_id=3760,4/6/2015,5/31/2016,83,aff_sub
